username,verified,top_hashtags
klymi.na,FALSE,"mongolia, fyp, paris, kbeauty, friends, skincare, vlog, dralthea, acnescar, wintervibes, favourites, essential, dralthea345cream, acne, troubledskin"
jeracoolio,FALSE,"kbeauty, koreanmakeup, koreanskincare, koreanmakeupproducts, pinkmakeup, cushionfoundation, romand, liptint, makeup, lippiescollection, lippies, kbeautylippies, imjustagirl, makeupbag, makeupbagtour"
angelinajarboe,FALSE,"affordableskincare, targetskincare, greenscreen, bestskincare, bestaffordableskincare, drugstoreskinscare, christmashaul, matureskincare, christmashauls, rhode, rhodelipshape, christmashauls2024, richkidchristmashaul, deinfluencing, matureskin"
waves_for_dayzz,FALSE,"cppartner, colourpopme, colourpopcosmetics, hydratingsunscreen, hyaluronicacid, moisturizingspf, glowessentials, skincaretips, guerlain, youthwateryoilserum, pamperyourskin, noyzfragrance, myrosy, intimateperfume, dearhair"
jmeans77,FALSE,"pickyreview, gopicky, kbeauty, gifted, vtcosmetics, ad, pickyxvtcosmetics, glassskin, centellian24, complimentary, iunik, kohlscreators, kohlspartner, kohlsfinds, glowingskin"
carmelk1,FALSE,selflove🥰😍🫶🏾..
skincredibles,FALSE,"koreanskapielegnacja, kbeauty, koreanskincare, pielegnacjatwarzy, koreanskiekosmetyki, ulubiency, korenskincare, pielegnacjaskory, yesstyle, kbeautyskincare, kosmetyki, skincaretips, koreanskincareroutine, anua, skincare"
jamesslushie,FALSE,"thehairlabambassador, kindnesskrew, waisttrainer, faja, gofrothyourself, skincare, labsquad, thehairlab, 48, soldejaniero, soldejaniero48, review, milkrx, skincarereview, fyp"
_chicpick,FALSE,"fyp, creatorsearchinsights, ugccontentcreator, kbeauty, skincare, skincareroutine, smallcontentcreator, koreanskincare, prpackage, prhaul, glowymakeup, kbeautyskincare, lippie, viral, skintok"
aroundtheplanetandback,FALSE,"glassskin, perfumetok, fragrancereview, vtpartner, vtcosmetics, kbeauty, skincarelovers, roseparade, nettefragrance, nicheperfume, scentoftheday, fragrancelover, themakerparadiso, nichefragrance, luxuryscents"
itsomalherself,FALSE,"pickyreview, gopicky, lattafa, perfume, skincareroutine, fragrance, perfumeaddict, perfumereview, fragrancelover, khadlaj, perfumelovers, skincare, perfumecollection, skincaretips, arabianperfumes"
hannie.skin,FALSE,"beautyblogger, skincareroutine, skintok, skincarecommunity, glowingskin, skincareproducts, skincareblogger, asmr, skincaregirlies, xiaohongshu, makeuptutorial, makeup, douyin, trends, fyp"
bel1amur,FALSE,"ugccreator, teamwork, ugc, popup, beauty, rarebeauty, selenagomez, rhode, ootd, reelsinstagram, explore, explorepage, rhodeskin, commense, commensereview"
ksuuuushaxx,FALSE,"koreanskincare, fyp, koreanskincareroutine, glassskin, fy, trending, viral, koreanskincareproducts, kbeauty, medicube, skintok, numbuzin, skincare, wrinkelcare, purpleskincare"
loriebelle.ugc,FALSE,"kbeauty, fypage, cushionfoundation, clio, cliokillcovermeshglowcushion, skincare, koreanskincare, kbeautyskincare, fyppppppppppppppppppppppp, skin1004, imfrom, yesstyleinfluencers, toner, ricetoner, spraytoner"
lexlovesmakeup,FALSE,"perfume, cleanpartner, fyp, myclean, fragrance, gifted, perfumelove, fypシ, fragrances, newinbeauty, trendingbeauty, whippedcherry, fragrancecommunity, perfumelover, ultabeauty"
xo.lolaenriquez.xo,FALSE,"kbeauty, viral, heimish, allcleanbalm, cleansingbalm, heimisheyecream, marinecareeyecream, viralkbeauty, viralreels, koreanskincare, travelkit, abib, yesabib, acnejourney, abibcapsuleserum"
