Column1,account,follower,following,first_upload_date
169,olabeeisi,13000,602,
170,rishiugc,41200,151,2023-04-26
171,jetlaggedlovers,1100000,529,
172,lilachilds,234300,698,2023-10-12
173,clara.slays,131400,483,2020-04-14
174,apj.bella,1000000,139,2021-10-19
175,natashaangeliquen,194600,205,2021-04-13
176,kayleemalcolm,306300,550,2020-01-24
177,skinbykristin,507800,1168,2020-06-29
178,kristynhoffman96,328000,1218,
179,lifewtamia,62800,225,
180,nikiivictoria,1700000,597,2019-08-21
181,sunscreen.addict,1040,225,
182,ft.angela,11200,433,
183,bazitash,4371,173,2020-10-27
184,jolanibeauty,253500,559,
185,pereylierge,548800,1070,2021-11-12
186,bodiedthatbodycare,128900,99,2021-01-30
187,pinaydora,1348,50,
188,yangmediary,1460,830,
189,beauty__bymegs,1230,654,
190,patriizzle,178900,484,
191,sophiacuerquis,1400000,302,2020-03-14
192,susanyara,307800,1690,
193,hyram,5700000,1775,2020-01-09
194,labeautyologist,19600,267,2019-10-19
195,kennymanalad,174600,115,
196,bostonstaffstyle,1611,126,
197,taylorwynn_,41800,135,
198,styleandbeautydoctor,12600,353,2022-09-16
199,zareen_javed,2214,435,
200,dlgnskin,10500,337,2021-03-28
201,witandarte,861,1044,2022-12-12
202,beautycloudlove,5824,116,
203,psdiwan22,1747,380,2021-06-11
204,auraofmahmuda,3296,173,2023-11-25
205,vickyoffishal,58700,83,
206,litzserafim,33200,156,
207,__allaboutskincare__,180,82,
208,klymi.na,24100,35,2023-04-16
209,jeracoolio,5628,148,
210,razan.alani,724,4308,
211,umma.nola,705,308,2023-09-05
212,emeliepatriciaa,1587,202,
213,angelinajarboe,102800,282,2022-11-29
214,waves_for_dayzz,13700,276,2021-11-26
215,jmeans77,2301,1455,
216,skinwithscientistt,270,64,
217,carmelk1,517,904,
218,hazesource,2360,2182,
219,ouibutnon,826,402,
220,skincredibles,5102,317,
221,jamesslushie,8052,1251,
222,_chicpick,1955,1449,2022-12-12
223,aroundtheplanetandback,10100,1846,
224,emeraldbeauty,67400,111,
225,alessyafarrugia,3200000,1148,2019-09-27
226,itsomalherself,3023,1821,
227,skincarenotes,726,178,
228,hannie.skin,4992,251,
229,skin_with_zee,254,193,2024-01-17
230,bel1amur,1279,1159,2022-06-21
231,minazibayi,1200000,226,2022-07-09
232,saramiaaa,12200,1277,2020-10-28
233,thekateexperience,11300,9627,2019-09-19
