username,median_views,median_comments,average_views,average_comments
ugcwithb__,47,2,70,2
sophia.cathyy,,,,
sailormina_,454,13,2.1K,15
glowinthegram,863,10,1.5K,12
ericaz_ugc,,,,
ugc_byivanna,531,14,937,14
krisoncamera,1.1K,1,1.1K,2
ugc.by.iri,525,5,1.7K,5
aeht.ugc,187,0,1.5K,1
honest_recs,724,2,745,2
by_ashmariee,558,9,663,10
almostsimplysky,403,2,1.3K,3
lukyss_09p,168,0,359,1
amirka08,313,2,536,3
chilibeauty1201,652,2,953,3
tatiana.ptrnina,344,4,674,5
abigail.ugc.creator,,,,
trxlyadria,483,29,521,31
skinwsara,,,,
miralii.m,933,2,2.3K,2
_janessam,494,1,4.2K,3
annahostriakova,401,1,720,1
ibubblii,1.2K,0,1.1K,
beautyfanaticjenn,2.4K,1,2.4K,1
glowyyclover,,,,
ugcwithedwina,984,2,1.9K,5
christineeugc,1.1K,3,1.6K,3
renlauskin,295,1,315,1
pixelheartsbeauty,304,2,317,2
jelloskinsecrets,575,17,854,18
ugc_adriiana,763,0,2.4K,1
skin_likee,1.4K,1,55.7K,14
glowological,329,3,595,3
hola.danielaxoxo,813,4,978,4
vera_kskincare,599,70,1.4K,74
luv4ikeuuu,1.7K,13,70.2K,40
kat.iveth1,468,12,666,15
fabulous.mira.skincare,897,1,14.0K,2
ugcale,,,,
skinbyhelen,3.2K,6,194.8K,12
ellasolves,414,0,2.5K,0
skinwithe1,259,22,351,23
ugcwithmeriem,344,2,608,2
joselinastyle,509,38,695,39
starfaceorganics,899,4,3.9K,6
ishmadiaries,397,4,3.9K,6
stanskincare,180,1,180,2
itshazeldiaries,285,0,402,1
skinwithclods,376,7,745,8
greyyychoi,1.4K,2,18.1K,12
heartz4pitii,2.4K,34,157.8K,66
mattrandon,57.1K,32,264.3K,77
melon_park,252.2K,91,491.0K,150
_lilyis,114.7K,37,424.4K,106
keytoglo,756,4,884,5
abbyrosemaureen,875,4,4.6K,4
kiki.dee__,,,,
denitsab3auty,661,11,1.0K,12
lilac__05,367,21,6.9K,23
dreamyglowyskin,555,1,591,1
bethyful_kbeauty,367,5,1.0K,5
maddysbeautytalk,442,4,757,5
lovemisomeskin,566,2,8.7K,3
ugcwithkpm,842,13,1.9K,13
betweendots,748,2,798,2
chen.ugc,580,2,2.1K,13
aera.ugc,513,20,555,26
skincarewithxia_,521,6,636,6
skinhippie27,547,21,1.2K,27
klea.sotiri,2.4K,6,6.2K,7
zahraxbeauty,576,7,21.8K,9
katysayfi,1.1K,1,936,1
sonuugrg_,1.3K,2,3.9K,3
anika_kozlova,1.5K,2,125.2K,9
itstessjohnson,418,2,1.0K,3
looksbyhiba,366,3,519,3
itsmelissaga,3.3K,5,64.1K,15
zoe.aesthetic.grw,677,1,2.3K,3
thedikshadiary,723,1,1.4K,1
akshayareddykontham,727,0,857,
lifestylewithfatima,1.2K,5,25.4K,7
bosslady__carla,1.4K,73,9.6K,98
thehydratedhunny,492,1,1.2K,3
grace_forevermore_,473,7,619,9
brendasbeautyblog_,264,1,294,1
curateandglow,378,1,875,1
nizvetsbeautydiaries,359,1,614,2
hijabiskinfluencer,422,2,2.8K,3
skincarepessimist,859,0,1.2K,
mottaskin,879,2,1.2K,3
zwonylen,5.2K,34,46.5K,186
stephaniienini,392,2,5.4K,11
glam._diaries,689,52,1.1K,51
sashask1n,658,27,1.4K,28
ugc.by.zainab,520,3,803,3
dearkisha_,428,4,645,5
nattylattie,493,5,595,23
liansloves,358,2,4.3K,5
andie_sorto,540,9,2.3K,10
melinamujer,380,1,484,1
irisoyeon_,455,2,2.3K,3
_arishasheikh,694,2,701,2
hanahdewybae,666,5,5.1K,6
gemavm10,437,13,608,12
keirrawebster,422,2,592,3
ugcbyjamie,1.7K,42,35.5K,62
badblory,667,4,791,6
sya.skin,10.5K,15,30.4K,21
skincarewithbrit_,777,3,949,3
skincareuprising,4.5K,0,6.1K,1
beauty_viridiana_,424,0,574,1
emileerachel,348,2,1.1K,3
timeforrice,564,1,538,2
jhamheartsthis,798,10,8.0K,15
aglimpseofglow,948,0,952,1
mariana.ugc,461,8,3.3K,11
tashfia____,1.3K,3,3.4K,7
