username,median_views,median_comments,average_views,average_comments,last_video_date,verified,top_hashtags
anika_kozlova,1.5K,2.0,125.2K,9.0,2023-01-29,False,"makeuphacks, eyemakeup, beautyhacks, beautyhack, eyeliner, makeuptutorial, beautyinfluencer, eyelinertutorial, makeup, eyemakeuptutorial, makeuphack, ugccreator, makeupfail, ugcbeauty, prommakeup"
annahostriakova,401,1.0,720,1.0,2023-12-18,False,"fyp, viralmakeup, rhode, makeuphack, viralskincare, glassskin, skincare, makeuphacks, cleangirl, glowskin, viral, beauty, koreanskincare, selfcareroutine"
aroundtheplanetandback,21.7K,2.0,24.5K,4.0,2022-03-22,False,"glassskin, perfumetok, fragrancereview, vtpartner, vtcosmetics, kbeauty, skincarelovers, roseparade, nettefragrance, nicheperfume, scentoftheday, fragrancelover, themakerparadiso, nichefragrance, luxuryscents"
arvika_j,,,,,,False,
auraofmahmuda,773,4.0,5.9K,7.0,2023-11-25,False,"skincare, fyp, kbeauty, skintok, skincareroutine, clearskin, acne, viral, foryou, koreanskincare, explore, beauty, skincareaddict, skincaretips, influencer"
autumnsaro,5.9K,33.0,17.4K,47.0,2022-08-11,False,"aesthetic, fyp, itgirl, pinterestinspo, morningroutine, thatgirl, danishpastel, girlythings, pinterestaesthetic, treehutpartner, treehut, treehutvanilla, rhode, whatsinmybag, emijay"
badblory,667,4.0,791,6.0,2021-01-11,False,"makeup, maquillage, foru, foryou, fyp, mua, pourtoi, parati, fypage, foryoupage, tropbelle, mkp, blue, makeupinspo, girl"
beauty__bymegs,429,17.0,485,17.0,2023-12-13,False,"aesthetic, skincare, sotd, fragrance, scentgasm, beauty, complimentary, cosrx, skincaregoals, acnetreatment, glowingskin, evenskintone, skincaretok, skincaretip, pickyreview"
beauty_viridiana_,424,0.0,574,1.0,,False,"fyp, unboxing, imjustagirl, tiktokmademebuyit, parat, contentcreator, tiktokshop, pr, makeup, parati, imajinate, happybirthday, frenchie, urbandecay, shopnow"
beautycarebydrhind,1.6K,2.0,1.9K,3.0,2023-11-02,False,"haircare, hairgrowth, hairandbeauty, beautycareproducts, beautycare, pamperyourself, dermaroller, organicproduct, staybeautiful, vitamins, proteins, naturalingredients, natureisthebest, scrub, organic"
beautycloudlove,1.4K,1.0,4.3K,2.0,2022-04-24,False,"koreanskincare, makeuplover, marioblush, makeupbymario, blush, blushtutorial, toomuchblush, asmr, lipglosses, kbeauty, makeup, makeupobsession, makeupaddict, skincareroutines, koreanskincareproducts"
beautyfanaticjenn,2.4K,1.0,2.4K,1.0,2022-09-04,False,"asmrmakeup, makeuploversunite, velvetlipstick, lipstickswatches, maccosmetics, bzzagent, bzzagentcampaign, maclipsticks, lipsticklover, maccosmeticslipstick, creamylipstick, hydratinglipstick, hydratinglipstick"
bebethssi,342,0.0,918,1.0,2020-04-17,False,"makeup, koreanbeauty, koreanskincare, foundation, cushion, basemakeup, diabetic, diabetestipo2, diabetes, diabetescheck, diabetesawareness, diabetesmellitus, diabetesmelitus, diabete, diabeticwarrior"
bel1amur,829,9.0,1.6K,12.0,2022-06-21,False,"ugccreator, teamwork, ugc, popup, beauty, rarebeauty, selenagomez, rhode, ootd, reelsinstagram, explore, explorepage, rhodeskin, commense, commensereview"
