username,median_views,median_comments,average_views,average_comments,last_video_date,verified,top_hashtags
itsfufumochii,999,25.0,4.4K,144.0,2024-11-22,False,"tiktokgrowth, tiktokgrowthtips, growingontiktok, engaging, creatorsearchinsights, couplegoals, couplestiktok, koreanmakeup, couple, coupleschallenge, dateideas, scrapbooking, koreanbeauty, pr, teamwork"
itshazeldiaries,285,0.0,402,1.0,2020-08-23,False,"ootd, outfit, grwm, makeup, grwmmakeup, skincare, grwmroutine, outfitinspo, makeuplook, maybelline, contentcreator, noheatcurls, birthday, cafe, manifestation"
itsmelissaga,3.3K,5.0,64.1K,15.0,2022-08-23,False,"patricktabeauty, patricktablush, patricktanewblush, toastedteddy, brownblush, patrickta, redblush, holidaymakeup, patricktanew, lipcombo, mauveblush, blushcomparison, cherrylips, blackcherry, rhodepocketblush"
itsomalherself,224,2.0,282,3.0,2021-08-06,False,"pickyreview, gopicky, lattafa, perfume, skincareroutine, fragrance, perfumeaddict, perfumereview, fragrancelover, khadlaj, perfumelovers, skincare, perfumecollection, skincaretips, arabianperfumes"
itsreal_lmb,1.9K,7.0,20.7K,17.0,2021-08-05,False,"fyppppppppppppppppppppppp, 5yearstogether, unboxing, ipadair5, hardworkpaysoff, selfinvested, ugccreator, ipad, ipadair, unboxingvideo, ugccommunity, fyp, beach, civagostyle, stayhydrated"
itstessjohnson,418,2.0,1.0K,3.0,2019-09-28,False,"ad, beauty, skincareroutine, skincare, glowingskin, sharespectrum, spectrumcollections, glowup, makeup, charlottetilbury, magicbeautystars, unboxing, beautymusthave, grwm, spectrumbeautysuite"
itsugcgirl,149,2.0,329,2.0,2024-07-26,False,"ugc, makemeblush, blush, musthave, makeup, ysl, yslbeauty, sunscreen, shopicons, bubbleambassador, bubbleskincare, spf40sunscreen, gifted, pickyreview, gopicky"
jamesslushie,352,1.0,7.4K,2.0,2022-11-22,False,"thehairlabambassador, kindnesskrew, waisttrainer, faja, gofrothyourself, skincare, labsquad, thehairlab, 48, soldejaniero, soldejaniero48, review, milkrx, skincarereview, fyp"
jayanne.roller,1.1K,1.0,2.2K,1.0,2024-04-11,False,"ugc, beauty, ugccreator, skincare, 30daychallenge, morningskincareroutine, unboxing, rarebeauty, southeastasianbeautycreator, rarebeautyblush, rhode, rhodeskin, glazingmilk, haileybieber, beautycreators"
jelloskinsecrets,575,17.0,854,18.0,2024-01-03,False,"koreanskincare, skincarecommunity, kbeauty, glassskin, anua, skintok, anuaambassador, skincareroutine, soothingserum, panthenol, yesstyle, kskincare, skincare, medicube, medicubeambassador"
jennasiee,9.3K,8.0,176.3K,111.0,2021-06-07,False,"valeriamarquez, traumahealing, gemini, goodluck, mexican, peruvian, help, acefamily, austinmcbroom, catherine, ragebait, spotify, festival, lameloball, antibullying"
jensnomz,1.0K,2.0,4.3K,5.0,2024-04-05,False,"foodie, eating, foodreview, dallas, korean, costco, sushi, nogatekeeping, richardsontexas, chicagodogs, cheesefries, chickenbake, lifehack, jjajangmyeon, blackbeannoodles"
jeracoolio,2.5K,9.0,21.7K,26.0,2023-12-18,False,"kbeauty, koreanmakeup, koreanskincare, koreanmakeupproducts, pinkmakeup, cushionfoundation, romand, liptint, makeup, lippiescollection, lippies, kbeautylippies, imjustagirl, makeupbag, makeupbagtour"
jessicaroseugc,318,6.0,839,7.0,,False,"skincare, unboxing, kbeauty, skincareroutine, pr, makeup, contentcreator, grwm, koreanskincare, makeuptutorial, prunboxing, coloring, colorwithme, coloringbook, stylekorean"
jf.skin24,484,20.0,561,22.0,2024-01-24,False,"jfskindiary, kbeauty, skintok, koreanskincare, skincareroutine, skincare, review, medicube, medicubeambassador, yesstyle, yesstyleinfluencers, yesstylereview, claymask, glassskin, fully"
jhamheartsthis,798,10.0,8.0K,15.0,2021-09-09,False,"blush, kbeauty, fypシ゚, cutemakeup, viralmakeup, blusher, purpleblush, liquidblush, houseofhur, koreanmakeup, fyppp, hur, moistampouleblusher, yesstyleinfluencers, yesstyle"
jilliangottlieb,13.9K,23.0,525.4K,65.0,2020-08-07,False,"skincare, contactdermatitis, allergies, rosacea, patchtesting, viral, viralvideos, patchtest, dermatitis, allergicskin, comewithme, skinhealth, skincaretips, skinedu, skinallergies"
jmeans77,294,1.0,415,2.0,,False,"pickyreview, gopicky, kbeauty, gifted, vtcosmetics, ad, pickyxvtcosmetics, glassskin, centellian24, complimentary, iunik, kohlscreators, kohlspartner, kohlsfinds, glowingskin"
jocy.cs ,5.3K,6.0,1.2M,118.0,2020-08-07,False,"mixsoon, koreanskincare, glassskin, skincareroutine, skintok, tiktokmademebuyit, kbeautyaddict, koreanfacemask, mixsooncollagenmask, babyoil, hair, hairtok, softhair, hairtips, shinyhair"
joselinastyle,509,38.0,695,39.0,2024-01-01,False,"kbeauty, koreanskincare, skincare, glassskin, beauty, skincaretips, koreanbeauty, glowyskin, skincareroutine, fyp, glow, makeup, yesstyleinfluencers, yesstyle, haircare"
kat.iveth1,468,12.0,666,15.0,2022-02-15,False,"beautysponges, powderpuffs, powderpuffmakeup, makeuptiktok, kativeth, makeup, beautyblendercleaning, beautyspongewashing, howtowashbeautyblender, skincare, makeupreview, skinproud, iamskinproud, walmartfinds, top5makeup"
katysayfi,1.1K,1.0,936,1.0,2023-04-19,False,"asmr, selfcare, skincare, showerroutine, nightroutine, morningroutine, beauty, koreanskincare, cleaningmotivation, showerrroutine, selfcarenight, asmrselfcare, packwithme, kbeauty, shower"
kayskwa,3.0K,2.0,49.7K,18.0,2022-02-02,False,"movingabroad, livingabroad, internationalstudent, apartmenttour, melbourneapartment, melbournestudent, livingalonediaries, studyabroad, dininghalls, mcgilldininghall, mcgilluniversity, studentdiaries, leavinghome, travellife, dreamcity"
kbootyjenny,,,,,,,
keirrawebster,422,2.0,592,3.0,,False,"yourokcbestie, cybersecurity, techcareer, blackgirlintech, ipassed, fyp, okchairstylist, charliebrownchristmas, christmastreefail, cheaptok, cinnamonhair, strawberryblonde, oklahoma, christiantiktok, wonthedoit"
kenandmel,,,,,,False,"kenandmel, fyp, pureinstinct, pheromonperfume, vlogmas, greenscreen, torras, target, coolifair"
keytoglo,756,4.0,884,5.0,2024-03-15,False,"skincare, kbeauty, skin, fyp, morningskincareroutine, oilyskin, skincareroutine, morningroutine, koreanbeauty, makeup, skincaretiktok, skincare101, skincareviral, skintok, beauty"
kiki.dee__,,,,,2024-01-16,False,"fyp, koreanskincare, dryskintips, imfrom, imfromhoneymask, skincarereview, washoffmask, wishtrend, milkytoner, dryskincare, relateable, funny, girlproblems, trending, funnytiktok"
kimberly.cat,34.9K,100.0,211.7K,225.0,2023-04-28,False,"thingstodo, asmrsounds, pinterestaesthetic, foryou, productivity, trending, cleanwithme, cleaningmotivation, pinterestinspo, thatgirl, softgirl, sundayreset, cleaningszn, cleantok, fyp"
kimglamglow,,,,,,False,
klea.sotiri,2.4K,6.0,6.2K,7.0,2020-04-25,False,"fyp, albaniantiktok, fypシ, fyppppppppppppppppppppppp, albaniangirl, albania, foryoupage, viralvideo, albanian, barcelona, spain, foryou, valbona, miami, versacemansion"
klymi.na,10.6K,5.0,19.9K,9.0,2023-04-16,False,"mongolia, fyp, paris, kbeauty, friends, skincare, vlog, dralthea, acnescar, wintervibes, favourites, essential, dralthea345cream, acne, troubledskin"
krisoncamera,1.1K,1.0,1.1K,2.0,2024-10-08,False,"dontoliver, hardstonepsycho, fein, ugc, ugccreator, foodugc, ugcexample, aesthetic, airbnbugc, hawaiitiktok, oahu, honolulu"
ksuuuushaxx,8.2K,4.0,767.0K,51.0,2022-01-16,False,"koreanskincare, fyp, koreanskincareroutine, glassskin, fy, trending, viral, koreanskincareproducts, kbeauty, medicube, skintok, numbuzin, skincare, wrinkelcare, purpleskincare"
laurynslocs,,,,,2023-07-03,False,"fishhooks, grwm, traderjoes, soupdumplings, tiktokfoods, blackgirlmakeup, blush, blushunderfoundation, makeuphack, 4thofjuly, july4th,beachvibes, getreadywithme,beyonce,actingchallenge"
lee.ly1012,1.3K,2.0,2.5K,6.0,2023-10-10,False,"beauty, reviewbyleely, sephora, perfume, fragrance, ultabeauty, macys, yslbeautyus, newperfume, perfumereview, smellgood, smellgoodfeelgood, dailywear, sexyperfume, gorgeous"
lexlovesmakeup,357,6.0,3.3K,7.0,2022-01-20,False,"perfume, cleanpartner, fyp, myclean, fragrance, gifted, perfumelove, fypシ, fragrances, newinbeauty, trendingbeauty, whippedcherry, fragrancecommunity, perfumelover, ultabeauty"
liansloves,358,2.0,4.3K,5.0,2023-09-20,False,"beautyadventcalendar, canada, beauty, sephora, christmas, advent, adventcalendar, christmastiktok, christmascountdown, sephoraadventcalendar, sephorahaul, sephoragiftlist, sephorasale, yyc, alberta"
life.bynoeee,448,5.0,1.2K,8.0,2024-03-14,False,"ugccreator, ugc, makeup, microinfluencer, beauty, pr, amika, explore, makeuplover, creatorsearchinsights, prunboxing, explorepage, viralvideo, dior, parati"
life.w.lex4,588,4.0,883,5.0,2024-03-09,False,"ugc, fyp, ugccontentcreator, ugccommunity, ugccreator, contentcreator, capcut, smallcreator, ugcexample, girlytok, aesthetic, girlythings, ugccontent, lifestyle, creatorsearchinsights"
lifestylewithfatima,1.2K,5.0,25.4K,7.0,2024-01-11,False,"kbeauty, koreanskincare, skincareroutine, kbeautyroutine, glowingskin, glassskin, skincareaddict, unrecognizablemakeup, skincaretips, skincaretiktok, glowup, koreanbeauty, beautytips, healthyskin, haircareroutine"
lifewtamia,2.4K,20.0,6.4K,41.0,2023-01-21,False,"preppy, preppytok, viral, xyzabc, foryou, preppyfyp, viralvideo, preppylifestyle, grwmroutine, preppyaesthetic, viraltiktok, preppyroutine, preppyroom, relatable, fyp"
lilac__05,367,21.0,6.9K,23.0,2024-01-29,False,"creatorsearchinsights, kbeauty, koreanskincare, kmakeup, exfoliateforlip, lips, lipexfoliator, liphealth, howtoexfoliatelips, lipbalmrecommendation, frudia, amazonkorea, stoppickinglip, liquidblush, yesstylemusthaves"
lindsaymae_,800,44.0,2.3K,47.0,2023-07-29,False,"booktok, romantasy, fourthwing, fantasy, throneofglass, acotar, tog, quicksilver, ironflame, onyxstorm, books, bookrecommendations, serpentsandthewingsofnight, whethemoonhatched, lotr"
lisaameyy,787,3.0,949,4.0,2022-06-11,False,"amazonfinds, skincare, amazonmusthaves, ugc, ugccontentcreator, ootd, fyp, ugccommunity, rhodeskin, amazonfashion, grwm, amazon, rhode, skincareroutine, makeup"
looksbyhiba,366,3.0,519,3.0,2020-04-12,False,"fyp, explore, contentcreator, reels, aesthetic, videooftheday, discoverunder10k, oddlysatisfying, glowingskin, trending, explorepage, makeuptutorial, reelsinstagram, charlottetilbury, cleangirlaesthetic"
loriebelle.ugc,407,5.0,3.5K,8.0,2023-06-27,False,"kbeauty, fypage, cushionfoundation, clio, cliokillcovermeshglowcushion, skincare, koreanskincare, kbeautyskincare, fyppppppppppppppppppppppp, skin1004, imfrom, yesstyleinfluencers, toner, ricetoner, spraytoner"
louysasdiaries,2.7K,38.0,4.0K,46.0,2024-01-18,False,"girlythings, girltherapy, morningdiaries, morningroutine, pinterestaesthetic, softgirlaesthetic, pinktok, pinkmorning, pinkaesthetic, morningvlog, sundayreset, girlytok, girlyvibes, girlaesthetics, girlyaesthetic"
lovebirsu,1.2K,21.0,104.4K,34.0,2023-12-23,False,"fy, fyp, skincare, skintok, beauty, glassskin, kbeauty, brightening, selfcare, koreanglassskin, hyperpigmentation, numbuzin, glutathione, glowup, koreanskincare"
lovelyleilani.ugc,,,,,,False,
lovemisomeskin,566,2.0,8.7K,3.0,2021-05-29,False,"partipost, sp, ad, kopitiamfoodhall, watsonssg, europacespotlesspowerchallenge, wykingcookware, cooklikeapro, nonstickperformance, effortlesscooking, btodoor, lockinv3, smartlocksg, homesecuritysg, harirayapromo"
lovinglynat,662,6.0,797,9.0,2023-12-26,False,"kbeauty, lovinglynat, fyp, viral, fypシ, skincare, yesstyle, romand, koreanskincare, clio, makeup, beauty, dasique, etude, fypage"
lukyss_09p,168,0.0,359,1.0,2023-11-23,False,"complimentary, pickyreview, gopicky, feelgoodnaked, josiemaran, @influenster, pickyxayunche, ayunche, drbio, skincare, serum, collab, skincareroutine, glasskin, fy"
luv4ikeuuu,1.7K,13.0,70.2K,40.0,2023-12-01,False,"fyp, relatable, hair, facialhair, hairygirl, ethnic, koreanskincare, abibambassador, abib, skincare, abibcrew, kbeauty, pr, skintok, microinfluencer"
maddysbeautytalk,442,4.0,757,5.0,2020-08-16,False,"meccabeauty, makeuptips, creatorsearchinsights, fyp, sephora, unboxing, newmakeup, mecca, lipblam, lipstick, makeup, viralmakeup, makeuptutorial, makeuphaul, clinique"
mariana.ugc,461,8.0,3.3K,11.0,2023-04-15,False,"gorchicunboxing, gorchichaul, gorchic, fallhaul, luxurybag, ugc, fyp, mickeymouse, skin, skincare, koreanskincare, quotes, disneyland, disney, disneyparks"
mattrandon,57.1K,32.0,264.3K,77.0,2020-06-25,False,"skincaretiktok, skincareviral, beautytutorial, beautyhack, beautyroutine, skincarehacks, beautyreview, morningroutine, grwmroutine, comedyskit, comedytiktok, comedyvideos, womenpower, womenoftiktok, womanpower"
megnugs2,1.6K,51.0,1.7K,46.0,2023-11-08,False,"kbeauty, makeup, fyp, pink, targetaudience, haul, girls, unboxing, cbeauty, viral, beauty, foryou, yesstyle, jbeauty, wonyoungism"
melii.mar_,620,4.0,1.8K,5.0,2022-09-22,False,"navidad, regalosnavideños, wingstop, wingstopranch, workoutroutine, nails, compras, mudanza, tendencias, regalosdenavidad, regalosorpresa, 2025, gisou, gisouhoneyglow, diseñodeuñasnavideño"
melinamujer,380,1.0,484,1.0,2020-04-26,False,"makeup, beauty, momlife, mom, mama, mommy, baby, toy, momquarantine, mua, tiktok, saveinstyle, loveshein, trend, makeupartist"
melissahemmingsley,496,3.0,4.0K,5.0,2022-01-03,False,"tatemcrae, soclosetowhat, tatemcraetour, tatemcraeedits, tatemcraeconcert, misspossessivetour, relatable, transitioninspo, transitionideas, itsokimok, funny, boyfriend, minigolf, sabrinacarpenter, shortnsweet"
melon_park,252.2K,91.0,491.0K,150.0,2020-05-02,False,"fyp, mukbang, koreanfood, food, foodie, friendsgiving, friendsgivingrecipes, thanksgiving, thanksgivingdinner, thanksgivingrecipes, eating, dancechallege, rawmarinatedcrab, rawcrab, koreanrawmarinatedcrab"
mindfulugc,394,9.0,395,10.0,2023-09-21,False,"squarepad, tonerpads, skincarestarter, glowgamechanger, glasskin, bouncyglow, ultafinds, pr, contentcreatortips, passiveincome, brandingstrategy, socialmediasuccess, ugccreator, ugcquestions, ugctips"
miralii.m,933,2.0,2.3K,2.0,2023-06-11,False,"yjhd, explorepage, minivlog, minilunch, indiavlog, desi, desifashion, winter, kurti, dayout, slowfashion, girls, pinterestfashion, dayinmylife, dayinmylifevlog"
mottaskin,879,2.0,1.2K,3.0,2022-05-03,False,"mottaskin, cerave, moisturizelikeaderm, ceravepartner, skincareroutine, skincare, oilyskin, cliniquepartner, clinique3stepreset, clinique, skincareproducts, koreanskincare, losangeles, koreanskincarelosangeles, ad"
muji_bee_nyc,,,,,,False,"nycpopup, nyc, thingstodoinnyc, beauty, laneige, nycfree, newyorkcity, thingstodonyc, mujibee, glossierfleur, freenyc, glossier, newperfume, nycvlog"
nakeziaa,623,1.0,924,1.0,2021-05-08,False,"contentcreator, contentcreation, yslloveshine, koreanskincare, fyp, relatable, kbeauty, abib, teca, motherdaughter, bestieduo, bestfriendsforever, jakartacafe, microinfluencerclub, roseskinco"
natik4s,354,4.0,517,4.0,2020-09-12,False,"ugc, ugccreator, beauty, makeup, gifted, skincare, mua, tiktokshop, ugccommunity, contentcreator, selfcare, sephora, reviewer, makeuplover, momlife"
natik4s,354,4.0,517,4.0,2020-09-12,False,"ugc, ugccreator, beauty, makeup, gifted, skincare, mua, tiktokshop, ugccommunity, contentcreator, selfcare, sephora, reviewer, makeuplover, momlife"
nattylattie,493,5.0,595,23.0,2020-05-27,False,"fypage, justagirl, outfitinspo, fypツ, girlsproblems, fypシ゚viral, gettingready, makeuptransitions, fypシ, makeuplooks❤️, makeupinspo, datenightoutfit, winteroutfitideas, girlproblem, makeupinspiration"
neetimathur0,675,3.0,675,3.0,2021-10-13,False,"brownskinmakeup, brownskingirl, complimentinglips, maccosmetics, havaianaslivredecliches, browngirlfriendly, dewyfoundations, drugstore, laproconcealer, beccacosmetics, undereyecircles, undereyegame, makeupreviews, pepsiapplepiechallenge, makeuptutorial"
newa_supriya,356,2.0,549,3.0,2019-11-19,False,"canoncamera, canong7x, camerag7xmarkiii, canonusa, canong7xunboxing, valentinesmakeup, fyp, valentinesday, prunboxing, latinamakeup, outfitinspo, snowstorm, capcut, makeuptrend"
nghibui_i,1.9K,2.0,12.6K,8.0,2023-09-14,False,"wakemake, squidgame2, wakemakesquidgame, sweaterweather, sweater, grwm, capcut, skin1004, kbeauty, skincare, poremizingclaymask, centellasunserum, centellatravelkit, tonebrighteningampoule, probiocicaeyecream"
nikkkaayy_,75,1.0,286,1.0,2022-08-25,True,"tiktokmakeup, tiktokbeauty, makeup, rarebeauty, rarebeautyblush, rarebeautymakeup, viralblush, rarebeautyreview, rarebeautybyselena, india, indiatravel, travelindia, indiantiktok, himalayas, ladakh"
ninislildiary,1.5K,15.0,4.5K,27.0,2023-10-21,False,"ugc, influencer, contentcreator, ugccommunity, ugccreator, explore, ugcexample, ugccontent, socialmedia, reels, fyp, relatable, trend, viral, pr"
nizvetsbeautydiaries,359,1.0,614,2.0,2021-08-28,False,"capcut, nizvetsbeautydiaries, skincare, selfcare, sunscreen, lipbalm, spfisyourbff, glowingskin, skincarelover, lipsticklover, productreview, lipgloss, sunscreensunday, nizvetsskincarediaries, lipstick"
nooni.ugc,1.3K,5.0,19.7K,20.0,2023-12-29,False,"cafereview, foodie, sacramento, sac, sacramentoeats, asianinspiredcafe, bananamatcha, doublematcha, vietnamesecoffee, sacfinds, saceats, norcal, california, cafespot, tts"
ouibutnon,695,6.0,692,6.0,2023-10-20,False,"kbeauty, koreanskincare, kpop, blackswan, fatou, nvee, gabi, sriya, catandmouse, sacramento, kpinternationalmarket, liveperformance, fanmeeting, skincare, mixsoon"
paolainatl,1.3K,46.0,1.3K,47.0,2023-05-27,False,"makeup, aesthetic, unboxingvideo, unboxing, skincare, ipad, ipadair, ipadair5, appleipad, skincareroutine, stevemadden, aestheticshoes, hermesoran, dupes, skincaretips"
pinaydora,919,3.0,1.2K,5.0,2024-01-25,False,"beautycommunity, beauty, beautycontentcreator, ugccommunity, ugc, ugccontentcreator, pr, rhode, hailey, haileybieber, contentcreator, discoverunder2k, beautytrends, beautytok, newtrend"
pinksandrosies,,,,,,False,"kbeauty, yesstyle, yesstyleinfluencers, ugccreator, ugccommunity, medicubeambassdor, medicube, koreanmodel, residentplaybook, goyounjung, goyounjung_naksu, kdrama, kdramalove"
pixelheartsbeauty,304,2.0,317,2.0,2022-03-07,False,"skincare, skincaretiktok, moisturiser, watercream, newproductalert, facecleanser, bubbles, grapefruit, texture, gifted, cleanreservehippedcherry, sweetgourmanderfume, sweetgourmand, warmandspicy, cherry"
pocketlifestyle__,539,2.0,476,4.0,2024-06-19,False,"microinfluencer, ugccreator, contentcreator, 2024, goodal, sister, heartleaf, hyaluron, reduce, inner, skin, sensitive, costco"
pretty.squirrelss,893,1.0,1.9K,2.0,2021-07-07,False,"kbeauty, koreanmakeup, tts, blush, lipcombo, tiktokmademebuyit, skincare, tiktokshop, koreanskincare, ttsfinds, tiktokshopfinds, pdrn, makeup, skincareroutine, glowingskin"
prettywrinkles,704,4.0,2.6K,5.0,2024-12-20,False,"beautyaesthetic, bathroomaesthetic, bathroomorganization, pinterestaesthetic, bathroomdesign, girlmess, bathroomdecorideas, pinterestinspired, wellnessfoodie, healthybreakfast, yogurtbowl, superfoods, healthybreakfastideas, deliciousfoods, wellnesstips"
psdiwan22,570,13.0,789,13.0,2021-06-11,False,"shein, saveinstyle, loveshein, sheinforall, hairgoals, sheinshops, shops, save, love, style, fashionbloggers, ootdstyle, sheintrends, sheinpartner, shopsmart"
quyen.la,512,1.0,798,2.0,2021-01-20,False,"fyp, butterflyeffect, butterfly, goodphil, uhfsa, goodphil2024, goodphil24, greenscreen, gp, houston, gp2024, jasontheween, college, foryou, uh"
rawanalani4,439,1.0,1.8K,3.0,2019-10-13,False,"muslimtiktok, muslim, ramdan, islamicreminder, ramdangiftsideas, ramdangift, 99namesofallahflashcards, creatorsearchinsights, 99namesofallah, makeup, hijabi, hijabifashion, hijabigirl, lipgloss, kbeauty"
razan.alani,1.8K,24.0,1.8K,25.0,2023-11-21,False,"iraqi, foryou, ilovecats, arab, fyp, syrian"
regina_ugc_,3.5K,16.0,30.3K,39.0,2024-01-06,False,"ugcvideo, ugccreator, ugcexample, productvideography, behindthescenes, ugccontentcreator, bts, whatiseewhatyousee, theprocessvstheresult, ugcusa, ugc, haircareroutine, gisou, gisouhairperfume, haircare"
renlauskin,295,1.0,315,1.0,2022-07-21,False,"kbeauty, koreanskincare, skincare, glassskin, skincareroutine, hwahae, reedleshot, centellian24, purito, numbuzin, pickyreview, gopicky, doublechin, sensitiveskin, skintok"
reviews_by_bee,513,14.0,548,16.0,2024-03-26,False,"pickyreview, gopicky, pickyxwhipped, whipped, fyp, cuteskincare, sunlit, skincare, valentinesdaygift, valentinesday2025, happyvalentine, tiktokisback, beautytok, reddiamond, viralbeauty"
rosaliebriere,827,5.0,7.4K,10.0,2020-03-30,False,"viral, trompeloeil, patisserie, tastetest, montreal, dupe, part2, quebec, stromuald, homesense, winners, trouvailles, ouverture, magasin, tour"
roselinni_,1.2K,6.0,3.9K,12.0,2023-11-26,False,"koreanskincare, fyp, kbeauty, skincare, skincareroutine, skintok, bodycare, skincare101, foryoupage, nongshim, nongshimusa, ramyun, foryou, fypシ, fypシ゚viral"
s.beauty.makeup12,923,5.0,2.3K,6.0,2021-11-06,False,"rarebeauty, blush, makeup, rarebeautyblush, rarebeautymakeup, ad, rarebeautybyselenagomez, kbeauty, skincare, lipstick, gifted, lorealmakeup, mascara, anua, loreal"
sailormina_,454,13.0,2.1K,15.0,2020-03-08,False,"kbeauty, xg, coachella, kpop, dreamacademy, katseye, makeup, cbeauty, eyeshadowpalette, douyinmakeup, creatorsearchinsights, babymonster, babymonsterworldtour, asmr, koreanskincare"
sashask1n,658,27.0,1.4K,28.0,2023-12-08,False,"kbeauty, creatorsearchinsights, skincare, koreanskincare, anua, medicube, makeup, haircare, skinfluencer, jbeauty, mixsoon, skincarereview, glassskin, yesstyle, acne"
shannenbudihardjo,493,0.0,644,0.0,2020-03-19,False,"foryou, dogsoftiktok, tiktokpuppies, puppy, petvlog, shibainu, aerierealpositivity, fyp, japantrip, tokyoarchitecture, japanesearchitecture, petlover, promlook, earthday, werkitfromhome"
shellllls_lifeeee,392,7.0,502,9.0,2021-06-22,False,"shellllls_lifeeee, dayinmylife, unboxing, dailyvlog, morningroutine, shopping, amazonfinds, amazon, skincaregoals, morningvlog, spendthedaywithme, inspiration, foodie, glowingskin, selfcare"
skin_likee,1.4K,1.0,55.7K,14.0,2023-12-28,False,"cheapperfumevsexpensive, bestperfume, fragnancetiktok, missdior, missdioreaudeparfum, fyp, rarebeauty, luxuryperfume, fragrancetok, makeupfyp, jamescharlespalette, charlesandjameslight, morphejamescharlespalette, morphexjamescharlespalette, jamespalettehighlighter"
skin_with_zee,597,7.0,883,9.0,2024-01-17,False,"skincare, skin, skincaretips, explore, ugccreator, hyperpigmentation, reels, niacinamide, sunscreen, kbeauty, skincarecommunity, reelsinstagram, koreanskincare, skincareproducts, 7daysglow"
skinbyhelen,3.2K,6.0,194.8K,12.0,2021-03-22,False,"crybaby, popmart, blindbox, scam, yttp_partner, bodycareroutine, glowyskin, showerroutine, ad, costcofinds, starbucksmatcha, lavendermatcha, biodance, costcofindscanada, hairsalontiktok"
skinbykristin,31.2K,57.0,101.0K,96.0,2020-06-29,False,"creatorsearchinsights, cleanwithme, antiaging, cleaningmotivation, antiagingtips, glowyskin, undereyebags, antiagingskincare, esthetician, estheticiantiktok, cleanwithmemotivation, musthaves, organizedhome, cleaningtiktok, greenscreen"
skincare.ninja,5.6K,5.0,183.4K,9.0,2021-04-11,False,"supplements, supplementsthatwork, chiaseedwater, digestiveenzymes, probiotic, skinhealth, guthealthtiktok, gutcleanse, 15daygutcleanse, bloatedstomach"
skincare_with_kylie,431,1.0,700,1.0,2023-10-10,False,"aesthetic, explore, fyp, fypシ, explorepage, trending, love, contentcreator, content, explorepage✨, explorepages, reels, makeup, college, life"
skincarenotes,839,5.0,2.5K,9.0,2024-08-08,False,"fyp, explore, skincarecommunity, skincare, skintok, perfumes, skincarereview, skincareroutine, spf, fraghead, healthyskin, hyperpigmentation, viralvideos, fyppp, middleeasternperfumes"
skincarepessimist,859,0.0,1.2K,,2023-06-12,False,"kbeauty, skincareroutine, skincare, spf, beautyroutine, glowingskin, beautyessentials, hydration, skincarepessimit, skincaregoals, koreanbeauty, flawlessskin, cuidadodelapiel, beautyblogger, skinprotection"
skincareuprising,4.5K,0.0,6.1K,1.0,2021-02-26,False,"skincare, skincarereview, skincareproducts, review, recommendation, beauty, kbeauty, skincarecommunity, makeup, skincaretips, skincareaddict, skincarelover, tiktokskincare, koreanskincare, skincareblogger"
skincarewithbrit_,777,3.0,949,3.0,2023-01-15,False,"capcut, kbeauty, japaneseskincare, koreanskincare, kbeautyreview, avene, lipblam, japanesesunscreen, koreansunscreen, gopicky, japaneseskincareproducts, beautyofjoseon, shiseido, kbeautyrecommendation"
skincarewithxia_,521,6.0,636,6.0,2024-03-18,False,"kbeauty, skincare, yesstyle, stylevana, koreanskincare, kskincare, skincareroutine, glassskin, serum, stylevanadiscount, anua, yesstyleinfluencers, dryskin, combinationskin, oilyskin"
skincredibles,3.0K,26.0,12.2K,39.0,2024-02-02,False,"koreanskapielegnacja, kbeauty, koreanskincare, pielegnacjatwarzy, koreanskiekosmetyki, ulubiency, korenskincare, pielegnacjaskory, yesstyle, kbeautyskincare, kosmetyki, skincaretips, koreanskincareroutine, anua, skincare"
skinhippie27,547,21.0,1.2K,27.0,2024-02-25,False,"kbeauty, koreanskincare, skincare, fyp, skincareroutine, sensitiveskin, medicube, tirtir, glassskin, stylekorean, mimumimu, pcalm, yesstyleinfluencers, porecare, centellian24"
skinwithclods,376,7.0,745,8.0,2021-10-03,False,"revgen, makeuprevolution, blush, kbeauty, koreanskincare, kbeautyskincare, lorealistaruk, lorealparis, ad, oliveyoung, loreal, stylevana, koreanmakeup, skincare, lipoil"
skinwithe1,259,22.0,351,23.0,2023-03-31,False,"skincareroutine, kbeauty, koreanskincare, skincarecommunity, skincaretips, skincareaddict, skincareproducts, skincare101, skincare, ugc, beauty, skininfluencer, skincareviral, skincaremusthave, aesthetic"
skinwithhillaryy,2.0K,3.0,22.3K,11.0,2024-10-16,False,"matcha, matchatok, brandymelville, brandy, puertorico, puertoricotiktok, businessowner, businesstok, fyp, skincare, skincareroutine, bodycare, relatable, relationship, intuitiontest"
skinwsara,,,,,2022-02-14,False,"fyp, fasttwitchcontest, grwmmakeup, makeupfavorites, makeuppicks, beautyaesthetic, lipglossaesthetic, makeupmusthaves, lipglossaddict, makeupswatches, summerfridays, lipbutterbalm, brownlipfavorites, lipbalmfavorites, skincaretiktok"
so.calmama,406,1.0,4.7K,5.0,2021-01-27,False,"sandiego, fire, santaanawinds, borderfire, wildfire, otaymountain, engaged, proposal, isaidyes, kendricklamar, food, myshayla, grandnationaltour2025, sza, kendricklamarsza"
sonuugrg_,1.3K,2.0,3.9K,3.0,2020-12-31,False,"fyp, nepalitiktok, nepal, ugc, ugccreator, fypシ, skincare, haircare, hairtok, haircaretips, theordinary, glycolictoner, scalpcare, travel, nepali"
