iter	Logloss
0	0.6544291541
1	0.6252709522
2	0.59536575
3	0.568600551
4	0.540137994
5	0.5158422133
6	0.4964777063
7	0.4778323142
8	0.4597797112
9	0.4442186986
10	0.4299782507
11	0.4157329191
12	0.4024067348
13	0.3896038714
14	0.3768055536
15	0.363786036
16	0.3541139532
17	0.3451864877
18	0.3358586035
19	0.3261614326
20	0.3184023815
21	0.312306173
22	0.3055514074
23	0.3011506773
24	0.295060033
25	0.2895910074
26	0.2841154701
27	0.2779453811
28	0.2727283811
29	0.2676012219
30	0.2621731844
31	0.258946627
32	0.2551004466
33	0.251535407
34	0.2479616424
35	0.2442908664
36	0.2417770338
37	0.2383821187
38	0.2352531822
39	0.2329842526
40	0.2303688771
41	0.2281793813
42	0.2257124683
43	0.2229807014
44	0.2205312865
45	0.2180174737
46	0.2156920382
47	0.2138694061
48	0.2114128241
49	0.2094810956
50	0.2075639857
51	0.2057577178
52	0.2042067135
53	0.203095597
54	0.2014795985
55	0.1999319655
56	0.1992098112
57	0.1985267416
58	0.1973541824
59	0.1963546112
60	0.1949742606
61	0.1933111296
62	0.192014867
63	0.190882271
64	0.1898233668
65	0.1888502734
66	0.1877995334
67	0.1871995161
68	0.1858771198
69	0.1854647059
70	0.1849495109
71	0.1839115694
72	0.1830868543
73	0.1821702813
74	0.1814166664
75	0.1805282194
76	0.1796860603
77	0.1788155928
78	0.1784477412
79	0.177928768
80	0.1770709825
81	0.1763926036
82	0.1756706476
83	0.174960673
84	0.1744668637
85	0.1738566287
86	0.1735599476
87	0.1732659049
88	0.1726557344
89	0.1718845241
90	0.1717907535
91	0.1714473523
92	0.1707483319
93	0.1704412899
94	0.1700743444
95	0.1694769567
96	0.1688386606
97	0.1682951138
98	0.1678563793
99	0.167491093
100	0.1667727666
101	0.166161029
102	0.1657554993
103	0.1652031239
104	0.164252062
105	0.1635687869
106	0.1632264591
107	0.1630404097
108	0.162662847
109	0.1621237592
110	0.1617028586
111	0.1614302419
112	0.1608890239
113	0.160557787
114	0.1599779008
115	0.1592133763
116	0.1588395704
117	0.1583412489
118	0.1580352017
119	0.1578431083
120	0.1574787433
121	0.1571372218
122	0.156833023
123	0.1565873328
124	0.1559766462
125	0.1557242605
126	0.1553039123
127	0.155061306
128	0.1547827122
129	0.1544153008
130	0.1541268212
131	0.1536632622
132	0.1531705563
133	0.1528070817
134	0.1524032812
135	0.1521747479
136	0.1521066579
137	0.1516201851
138	0.1513010566
139	0.1508884606
140	0.1508703268
141	0.1505070553
142	0.1500706985
143	0.1495437524
144	0.1491238058
145	0.1488934206
146	0.1484145167
147	0.1480499047
148	0.1476776808
149	0.1472509036
150	0.1466768973
151	0.1461666427
152	0.1458452911
153	0.1453841714
154	0.145040772
155	0.1447386354
156	0.144294134
157	0.1441168228
158	0.143862965
159	0.1435021584
160	0.1429422937
161	0.1426053368
162	0.1423236659
163	0.1420261278
164	0.141896234
165	0.1415451172
166	0.1413542653
167	0.1411026883
168	0.1407289822
169	0.1404623476
170	0.1402222921
171	0.1399010177
172	0.1395872799
173	0.1393235573
174	0.1391094445
175	0.1385803186
176	0.1383676895
177	0.1380243075
178	0.1375067418
179	0.1371867438
180	0.1367796543
181	0.1364900811
182	0.1363316636
183	0.1361241358
184	0.1360294938
185	0.1355855307
186	0.1353540602
187	0.135096489
188	0.1349043291
189	0.1346216883
190	0.1342390423
191	0.1339257106
192	0.1335199538
193	0.1331694008
194	0.1329866126
195	0.1328446386
196	0.132687337
197	0.1322651772
198	0.1319787999
199	0.1314351113
200	0.1310078892
201	0.1304103001
202	0.1301566263
203	0.1300429591
204	0.129692847
205	0.1294408284
206	0.1292927441
207	0.1289716425
208	0.1287100174
209	0.1285066965
210	0.1282387087
211	0.127965277
212	0.1276009999
213	0.1273872778
214	0.1268861615
215	0.1266455942
216	0.1265537082
217	0.1262412419
218	0.1260282746
219	0.1258124418
220	0.125739359
221	0.1255514505
222	0.1250592709
223	0.124901
224	0.1247512904
225	0.1241319684
226	0.1239264346
227	0.1236573587
228	0.1235804424
229	0.1233138262
230	0.1229974353
231	0.1228891856
232	0.1226890859
233	0.1225519591
234	0.1224056564
235	0.1222597934
236	0.1220574558
237	0.1216017638
238	0.1214474266
239	0.1212249854
240	0.1206109968
241	0.1204460788
242	0.120244943
243	0.1201384657
244	0.1199649475
245	0.1198053359
246	0.1197571328
247	0.119651859
248	0.1192264906
249	0.1189748109
250	0.1188321624
251	0.1186820086
252	0.1185316699
253	0.1182359791
254	0.1179444457
255	0.1177168475
256	0.1172986864
257	0.116969943
258	0.1167933546
259	0.1165543988
260	0.116396659
261	0.1163054335
262	0.1160526842
263	0.1159236334
264	0.1155885965
265	0.115244394
266	0.1150943085
267	0.114835156
268	0.1146795806
269	0.1144823532
270	0.1141290328
271	0.1139016305
272	0.1137171958
273	0.1136841049
274	0.1134058769
275	0.1131636024
276	0.1126243946
277	0.1124265167
278	0.1119921354
279	0.1118470719
280	0.1116784778
281	0.1116375579
282	0.1112909649
283	0.1111287793
284	0.1109854574
285	0.1107372113
286	0.1105743925
287	0.1104272102
288	0.110275566
289	0.1099984211
290	0.1096687954
291	0.1095383449
292	0.109190537
293	0.1088579251
294	0.1084018618
295	0.1080609954
296	0.1077618817
297	0.1075224723
298	0.1072778858
299	0.1070952215
300	0.1068398245
301	0.1067532968
302	0.1064186596
303	0.1063162561
304	0.1061680603
305	0.1059638585
306	0.1057174578
307	0.1053331999
308	0.1049758016
309	0.1047694787
310	0.1046626066
311	0.1044011843
312	0.1041468275
313	0.1037702653
314	0.1035129949
315	0.1031192208
316	0.1028312946
317	0.1025854014
318	0.1022632801
319	0.1019696998
320	0.1017819184
321	0.101569911
322	0.1014123373
323	0.1012031979
324	0.100799187
325	0.1005443462
326	0.1004264679
327	0.1002064895
328	0.09986677465
329	0.09952630441
330	0.09932644392
331	0.09907219196
332	0.09895274721
333	0.09864662827
334	0.09846700677
335	0.09820358308
336	0.09805828466
337	0.0979019854
338	0.09779586395
339	0.09756830603
340	0.0972310243
341	0.09708668352
342	0.09685886201
343	0.09663117111
344	0.09652575357
345	0.09639965864
346	0.09610101474
347	0.09584002536
348	0.09559200481
349	0.09540295026
350	0.09530257883
351	0.0950129209
352	0.09490165293
353	0.09478956805
354	0.09459265899
355	0.09436215446
356	0.0941044762
357	0.09389496513
358	0.09368001765
359	0.09362824553
360	0.09343490245
361	0.09325117387
362	0.09285806237
363	0.09261691176
364	0.09250404597
365	0.09238075246
366	0.09225432857
367	0.09218278991
368	0.09199441692
369	0.0918827774
370	0.09165937683
371	0.09143306357
372	0.09130589692
373	0.0911469396
374	0.09106278346
375	0.09093153379
376	0.09067654655
377	0.09046736593
378	0.09042021761
379	0.09031524675
380	0.09021731766
381	0.09005132125
382	0.08982497801
383	0.08973926239
384	0.08968064068
385	0.08953132245
386	0.08936096412
387	0.08915211061
388	0.08900570039
389	0.08876550225
0137
393	0.0983603804
394	0.09823868801
395	0.09816990891
396	0.09813488781
397	0.09809082443
398	0.09793537792
399	0.09766242824
400	0.09760317674
401	0.09739395605
402	0.09722459583
403	0.0971125083
404	0.09696283879
405	0.09691487544
406	0.09683378038
407	0.09674530064
408	0.09664950492
409	0.09637046664
410	0.09615507892
411	0.09594326364
412	0.09571840827
413	0.09567801798
414	0.0954848131
415	0.09526674059
416	0.09502322301
417	0.09494592082
418	0.09483628562
419	0.09480731879
420	0.09463731325
421	0.0944497003
422	0.09432984437
423	0.09421815843
424	0.09401093075
425	0.09381844245
426	0.09359003148
427	0.09323264253
428	0.09312525179
429	0.09302666408
430	0.09291278463
431	0.0927624452
432	0.09256754034
433	0.09239068172
434	0.09230783467
435	0.09210230691
436	0.09205998013
