username,total_views,likes,total_comments,total_video_shares,total_engagements,median_views,median_likes,median_comments,median_video_shares
its.mawii,132.3K,4.7K,406,163,,283,14,0,0
natik4s,482.0K,11.1K,2.0K,468,,353,17,3,0
roselinni_,1.3M,24.5K,3.3K,692,,1.3K,26,5,1
bebethssi,6.6M,341.4K,4.9K,33.1K,,463,11,0,1
h.annahyu,58.8K,6.7K,93,34,,483,31,0,0
topnotchmarvellous,655.1K,49.3K,12.5K,491,,320,32,8,0
rawanalani4,4.1M,448.6K,3.7K,6.8K,,469,33,1,0
torilatise,23.0M,1.3M,38.3K,51.1K,,4.9K,200,11,4
neetimathur0,190.7K,2.3K,70,76,,530,15,1,0
ugc.fer,120.6K,2.8K,233,87,,400,21,3,0
etherealskinwithrinny,673.6K,16.3K,3.0K,2.9K,,6.4K,147,47,44
glowithtay,175.8K,21.8K,453,1.2K,,519,53,4,0
skinwithhillaryy,1.6M,145.1K,782,17.1K,,2.0K,53,3,2
megnugs2,755.8K,92.0K,10.4K,1.7K,,1.7K,240,44,4
alotta_reviews,154.7K,6.3K,538,86,,217,13,1,0
addicted.to.skincare,23.2M,1.4M,7.3K,45.1K,,23.0K,672,10,15
beautycarebydrhind,18.6K,258,16,13,,328,3,0,0
s.beauty.makeup12,518.9K,17.3K,795,233,,773,43,2,0
thiglossglow,63.6K,2.7K,153,50,,412,29,1,0
pocketlifestyle__,3.3K,91,25,1,,539,12,2,0
voguereview,623.5K,37.7K,3.5K,1.1K,,346,36,6,0
sydneychriistensen,8.4M,1.2M,4.2K,7.6K,,918,55,1,0
life.bynoeee,156.1K,3.8K,658,429,,470,26,4,0
quyen.la,368.1K,21.7K,425,461,,539,38,1,0
jayanne.roller,74.0K,1.3K,51,73,,864,17,1,0
adriannamg12,411.7K,6.2K,1.3K,410,,353,19,1,0
itsreal_lmb,11.5M,1.5M,23.5K,118.9K,,2.5K,56,9,9
lovebirsu,8.3M,150.4K,3.6K,1.2K,,1.2K,146,16,2
clahh__,68.4K,1.9K,16,72,,421,9,0,0
_dollylqve,392.3K,61.1K,2.7K,1.4K,,2.1K,301,39,9
yunalome,11.6M,579.3K,6.5K,13.8K,,8.2K,187,8,3
glowingskinmadie,315.4K,2.0K,111,71,,917,13,0,0
dyknicx,769.6K,30.6K,3.2K,1.7K,,643,56,15,4
teresatpham,4.4M,453.2K,2.3K,49.8K,,1.2K,74,2,1
cla.audia,6.1M,1.0M,5.6K,107.7K,,361,31,0,0
kimberly.cat,121.0M,16.2M,139.3K,218.6K,,47.8K,8.1K,123,69
regina_ugc_,2.2M,188.8K,5.6K,7.2K,,2.4K,101,10,3
melii.mar_,476.6K,13.6K,849,862,,491,37,3,0
evesbeautylife,141.3K,8.4K,315,196,,386,42,1,0
urcreatorsophia,111.1K,1.8K,106,25,,725,16,1,0
skincare_with_kylie,85.8K,1.9K,111,22,,295,9,0,0
louysasdiaries,505.6K,158.1K,2.0K,660,,3.7K,640,23,3
lisaameyy,289.8K,8.2K,765,260,,461,29,3,0
her.lifestyle.pri,1.2M,24.6K,1.2K,959,,922,40,2,0
curly.qaya,358.5K,25.6K,1.9K,747,,744,83,7,2
Hikarifleurr,62.6M,7.2M,107.2K,189.3K,,3.6K,290,10,3
tatgiraldi ,18.4M,2.5M,10.3K,78.9K,,43.1K,2.9K,18,62
jocy.cs ,357.2M,16.8M,57.0K,182.4K,,38.8K,3.1K,15,17
sydnie_1209,68.5K,3.1K,143,76,,434,24,1,0
highimdalilah,21.5K,837,77,5,,811,26,2,0
dearrruzzi,32.4K,42.6K,31,4,,225,22,0,0
itsfufumochii,248.3K,39.8K,9.5K,8.6K,,987,122,27,3
chloemedeiros,167.9K,6.2K,289,162,,445,32,2,0
paolainatl,413.3K,32.4K,5.2K,728,,1.4K,211,55,0
happy.bluedino,498.2K,19.9K,404,289,,913,41,1,1
nghibui_i,494.4K,36.0K,251,476,,1.2K,80,2,0
ninislildiary,190.4K,33.6K,1.4K,2.3K,,1.5K,155,26,59
bythreewishes,794.2K,69.2K,274,19.4K,,733,26,1,1
xo.yokov,1.3M,332.3K,770,1.9K,,837,74,5,0
heyitsclarissaa,1,472.3K,N/A,N/A,,,,,
nakeziaa,1,3.3M,N/A,N/A,,,,,
teacuppuppycoco,20.8M,44.8K,1.6K,10.9K,,651,6,0,0
strawberry_shalyn,1.7M,96.2K,34.3K,4.0K,,502,50,19,1
Thatbaileygal,17,0,3,1,,17,0,3,1
sophie_bskin,49.1K,7.1K,1.0K,122,,474,68,13,1
itsbreeeva,401.0K,21.1K,2.5K,355,,497,35,4,0
rosaliebriere,2.3M,149.1K,2.9K,10.1K,,802,44,4,1
thekimedit,2.3M,39.2K,8.7K,1.6K,,765,46,22,1
thebeautymolecule,3.0M,138.8K,3.2K,3.4K,,1.9K,94,9,1
im.gis3lle,91.2K,4.8K,498,50,,356,29,2,0
im.gis3lle,91.2K,4.8K,498,50,,356,29,2,0
what_can_i_buy,295.4K,7.1K,515,182,,467,9,0,0
Rosemarie.loves,290.9K,13.6K,3.2K,308,,445,28,5,0
victoriahui,47.5M,1.2M,12.3K,80.8K,,1.5K,42,2,1
nikkkaayy_,4.3K,69,14,N/A,,109,3,0,0
edli.ugc,211.9K,7.2K,1.2K,958,,327,21,6,0
yt.jichelleirish,68.1K,2.2K,576,553,,292,13,3,3
newa_supriya,390.1K,26.0K,924,308,,404,32,1,0
creativelyamanda,17.5K,1.8K,196,59,,476,56,8,1
ugcwithb__,2.0K,364,70,142,,44,13,2,1
sophia.cathyy,,0,N/A,N/A,,0,0,0,0
sailormina_,500.4K,30.4K,4.3K,391,,453,62,14,0
glowinthegram,141.2K,5.0K,720,83,,864,50,7,0
ericaz_ugc,1.9K,122,5,1,,212,10,0,0
ugc_byivanna,68.8K,6.1K,1.3K,86,,479,58,15,1
krisoncamera,5.5K,511,8,11,,1.1K,56,1,3
ugc.by.iri,39.2K,1.0K,122,24,,525,37,5,0
aeht.ugc,159.6K,4.8K,76,102,,242,5,0,0
honest_recs,60.0K,1.8K,164,42,,714,19,2,0
by_ashmariee,75.3K,6.1K,1.1K,64,,380,33,6,0
almostsimplysky,336.9K,29.7K,863,2.1K,,403,33,2,0
lukyss_09p,10.4K,205,17,4,,204,6,0,0
amirka08,275.5K,6.3K,795,656,,312,14,2,0
chilibeauty1201,19.0K,2.6K,41,5,,702,17,1,0
tatiana.ptrnina,174.9K,7.1K,1.1K,75,,336,16,2,0
abigail.ugc.creator,,98,N/A,N/A,,0,0,0,0
trxlyadria,105.5K,19.3K,4.4K,319,,458,69,25,1
skinwsara,6.6K,356,16,N/A,,276,8,1,0
_janessam,447.6K,25.0K,374,1.1K,,908,63,1,0
annahostriakova,100.1K,4.4K,155,62,,363,21,1,0
glowyyclover,19.2K,785,30,14,,834,41,2,0
ugcwithedwina,173.0K,7.1K,625,123,,1.0K,40,3,0
christineeugc,278.0K,9.1K,599,374,,1.1K,35,3,1
renlauskin,1,9.3K,N/A,N/A,,,,,
pixelheartsbeauty,1,770,N/A,N/A,,,,,
jelloskinsecrets,1,10.9K,N/A,N/A,,,,,
ugc_adriiana,1,921,N/A,N/A,,,,,
skin_likee,1,429.4K,N/A,N/A,,,,,
glowological,1,13.4K,N/A,N/A,,,,,
luv4ikeuuu,1,1.2M,N/A,N/A,,,,,
fabulous.mira.skincare,1,5.1K,N/A,N/A,,,,,
ugcale,1,590,N/A,N/A,,,,,
skinbyhelen,1,8.6M,N/A,N/A,,,,,
ellasolves,1,1.1M,N/A,N/A,,,,,
skinwithe1,1,18.1K,N/A,N/A,,,,,
ugcwithmeriem,1,888,N/A,N/A,,,,,
joselinastyle,1,39.9K,N/A,N/A,,,,,
starfaceorganics,1,48.1K,N/A,N/A,,,,,
ishmadiaries,1,54.3K,N/A,N/A,,,,,
stanskincare,1,515,N/A,N/A,,,,,
itshazeldiaries,1,10.5K,N/A,N/A,,,,,
